Crop,Region,State,District,Season,Area_Acres,Avg_Rainfall_mm,Yield_Quintal,Soil_Type
Rice,East,Bihar,District-15,Annual,63,1448,151.01,Black
Maize,East,West Bengal,District-40,Kharif,171,869,418.59,Black
Pulses,North,Uttar Pradesh,District-30,Kharif,132,667,438.09,Loamy
Rice,South,Tamil Nadu,District-5,Annual,252,928,1004.22,Black
Wheat,South,Karnataka,District-42,Kharif,248,668,730.88,Sandy
Rice,West,Maharashtra,District-10,Rabi,160,1423,496.09,Sandy
Wheat,West,Rajasthan,District-23,Annual,173,693,738.36,Red
Sugarcane,East,Odisha,District-18,Rabi,52,1266,147.37,Sandy
Pulses,South,Tamil Nadu,District-17,Annual,212,694,698.83,Sandy
Pulses,Central,Chhattisgarh,District-13,Rabi,282,443,1069.53,Red
Maize,North,Uttar Pradesh,District-7,Rabi,143,811,476.67,Red
Wheat,Central,Madhya Pradesh,District-26,Kharif,170,618,638.57,Sandy
Wheat,East,West Bengal,District-33,Annual,68,565,266.12,Loamy
Cotton,East,Bihar,District-12,Kharif,58,754,204.57,Black
Rice,North,Uttar Pradesh,District-16,Annual,257,1210,761.92,Red
Rice,Central,Chhattisgarh,District-16,Annual,210,1299,669.8,Alluvial
Cotton,North,Punjab,District-7,Annual,263,681,559.34,Alluvial
Sugarcane,Central,Chhattisgarh,District-33,Rabi,173,1406,601.91,Sandy
Maize,South,Andhra Pradesh,District-5,Rabi,159,821,345.85,Red
Sugarcane,West,Maharashtra,District-40,Kharif,278,1491,624.7,Alluvial
Maize,West,Maharashtra,District-11,Rabi,179,546,427.71,Red
Wheat,East,Bihar,District-49,Rabi,47,663,142.84,Sandy
Cotton,West,Maharashtra,District-19,Rabi,163,981,721.96,Red
Sugarcane,South,Andhra Pradesh,District-33,Annual,205,1447,509.52,Black
Wheat,East,West Bengal,District-50,Annual,80,630,296.62,Alluvial
Pulses,West,Gujarat,District-22,Kharif,46,555,115.41,Sandy
Pulses,Central,Chhattisgarh,District-5,Kharif,52,507,121.44,Alluvial
Cotton,South,Tamil Nadu,District-8,Annual,184,1038,373.23,Alluvial
Maize,Central,Chhattisgarh,District-17,Kharif,243,747,737.11,Loamy
Wheat,North,Haryana,District-28,Rabi,45,421,118.66,Red
Sugarcane,West,Rajasthan,District-33,Annual,137,1588,370.05,Red
Cotton,East,Odisha,District-19,Kharif,251,716,1012.55,Loamy
Maize,South,Andhra Pradesh,District-44,Kharif,48,560,166.59,Sandy
Maize,South,Andhra Pradesh,District-34,Rabi,295,867,768.94,Loamy
Pulses,North,Haryana,District-46,Rabi,199,576,672.31,Loamy
Cotton,East,Odisha,District-33,Annual,38,986,103.25,Red
Sugarcane,North,Uttar Pradesh,District-27,Kharif,269,1139,685.03,Loamy
Sugarcane,South,Karnataka,District-11,Annual,91,1577,312.41,Sandy
Pulses,Central,Chhattisgarh,District-30,Annual,68,330,270.28,Red
Wheat,South,Tamil Nadu,District-34,Kharif,40,591,91,Loamy
Cotton,East,Odisha,District-22,Annual,143,934,409.78,Black
Wheat,North,Uttar Pradesh,District-6,Kharif,167,749,670.66,Black
Sugarcane,West,Gujarat,District-9,Annual,213,1372,833.55,Black
Wheat,East,Bihar,District-29,Kharif,15,687,40.83,Loamy
Cotton,North,Uttar Pradesh,District-32,Kharif,208,824,644.96,Red
Maize,East,Bihar,District-42,Kharif,56,719,209.52,Sandy
Sugarcane,South,Andhra Pradesh,District-33,Kharif,30,1379,66.7,Alluvial
Pulses,East,Odisha,District-28,Rabi,194,533,518.88,Black
Wheat,North,Punjab,District-5,Kharif,265,533,979.33,Loamy
Rice,Central,Chhattisgarh,District-2,Annual,236,1083,865.78,Loamy
Maize,North,Haryana,District-25,Annual,128,529,406.12,Red
Maize,North,Uttar Pradesh,District-35,Rabi,278,665,1030.91,Alluvial
Rice,South,Andhra Pradesh,District-23,Rabi,127,1133,341.58,Black
Cotton,North,Haryana,District-8,Kharif,252,613,857.53,Red
Rice,North,Haryana,District-12,Annual,93,1068,228.83,Red
Wheat,East,Odisha,District-30,Kharif,27,667,81.04,Red
